TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
33,53,53,53,53,56,60,64,68,72,79,85,88,91,94,97,100,103
34,56,56,56,56,60,64,68,72,75,82,88,91,94,97,100,103,106
35,56,56,56,56,60,64,68,72,75,82,88,91,94,97,100,103,106
36,56,56,56,56,60,64,68,72,75,82,88,91,94,97,100,103,106
37,60,60,60,60,64,68,72,75,79,85,91,94,97,100,103,106,109
38,60,60,60,60,64,68,72,75,79,85,91,94,97,100,103,106,109
39,60,60,60,60,64,68,72,75,79,85,91,94,97,100,103,106,109
40,60,60,60,60,64,68,72,75,79,85,91,94,97,100,103,106,109
41,64,64,64,64,68,72,75,79,82,88,94,97,100,103,106,109,112
42,64,64,64,64,68,72,75,79,82,88,94,97,100,103,106,109,112
43,68,68,68,68,72,75,79,82,85,91,97,100,103,106,109,112,115
44,68,68,68,68,72,75,79,82,85,91,97,100,103,106,109,112,115
45,72,72,72,72,75,79,82,85,88,94,100,103,106,109,112,115,118
46,72,72,72,72,75,79,82,85,88,94,100,103,106,109,112,115,118
47,72,72,72,72,75,79,82,85,88,94,100,103,106,109,112,115,118
48,72,72,72,72,75,79,82,85,88,94,100,103,106,109,112,115,118
49,75,75,75,75,79,82,85,88,91,97,103,106,109,112,115,118,122
50,75,75,75,75,79,82,85,88,91,97,103,106,109,112,115,118,122
51,79,79,79,79,82,85,88,91,94,100,106,109,112,115,118,122,125
52,79,79,79,79,82,85,88,91,94,100,106,109,112,115,118,122,125
53,79,79,79,79,82,85,88,91,94,100,106,109,112,115,118,122,125
54,82,82,82,82,85,88,91,94,97,103,109,112,115,118,122,125,128
55,82,82,82,82,85,88,91,94,97,103,109,112,115,118,122,125,128
56,82,82,82,82,85,88,91,94,97,103,109,112,115,118,122,125,128
57,85,85,85,85,88,91,94,97,100,106,112,115,118,122,125,128,132
58,85,85,85,85,88,91,94,97,100,106,112,115,118,122,125,128,132
59,85,85,85,85,88,91,94,97,100,106,112,115,118,122,125,128,132
60,85,85,85,85,88,91,94,97,100,106,112,115,118,122,125,128,132
61,88,88,88,88,91,94,97,100,103,109,115,118,122,125,128,132,135
62,88,88,88,88,91,94,97,100,103,109,115,118,122,125,128,132,135
63,91,91,91,91,94,97,100,103,106,112,118,122,125,128,132,135,138
64,91,91,91,91,94,97,100,103,106,112,118,122,125,128,132,135,138
65,94,94,94,94,97,100,103,106,109,115,122,125,128,132,135,138,142
66,94,94,94,94,97,100,103,106,109,115,122,125,128,132,135,138,142
67,94,94,94,94,97,100,103,106,109,115,122,125,128,132,135,138,142
68,97,97,97,97,100,103,106,109,112,118,125,128,132,135,138,142,146
69,97,97,97,97,100,103,106,109,112,118,125,128,132,135,138,142,146
70,97,97,97,97,100,103,106,109,112,118,125,128,132,135,138,142,146
71,97,97,97,97,100,103,106,109,112,118,125,128,132,135,138,142,146
72,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
73,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
74,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
75,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
76,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
77,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
78,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
79,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
80,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
81,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
82,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
83,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
84,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
85,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
86,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
87,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
88,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
89,100,100,100,100,103,106,109,112,115,122,128,132,135,138,142,146,150
